City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Vaini,TO,-21.2,-175.2,71.33,69,100,13.22,light rain
1,Quime,BO,-16.9833,-67.2167,52.02,90,80,2.95,broken clouds
2,Carnarvon,AU,-24.8667,113.6333,73.11,49,0,19.22,clear sky
3,Palauig,PH,15.435,119.9045,84.7,68,96,5.84,overcast clouds
4,Lompoc,US,34.6391,-120.4579,56.01,84,0,11.5,clear sky
5,Mataura,NZ,-46.1927,168.8643,51.48,97,100,3.53,overcast clouds
6,Berlevag,NO,70.8578,29.0864,33.8,80,100,5.75,overcast clouds
7,Cheyenne,US,41.14,-104.8203,38.77,86,0,0.0,clear sky
8,Suntar,RU,62.1444,117.6319,31.37,79,100,8.1,overcast clouds
9,Jamestown,US,42.097,-79.2353,62.19,83,0,13.8,clear sky
10,Northam,GB,51.0333,-4.2167,59.61,92,99,23.8,overcast clouds
11,Leningradskiy,RU,69.3833,178.4167,1.38,89,13,5.1,few clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,9.12,94,90,10.69,overcast clouds
13,Lavrentiya,RU,65.5833,-171.0,26.42,78,45,11.3,scattered clouds
14,Caxito,AO,-8.5785,13.6643,75.34,88,39,1.48,scattered clouds
15,Cherskiy,RU,68.75,161.3,5.22,95,100,3.91,overcast clouds
16,Sitka,US,57.0531,-135.33,42.69,75,100,6.46,overcast clouds
17,Yellowknife,CA,62.456,-114.3525,21.56,85,98,10.0,overcast clouds
18,Port Hedland,AU,-20.3167,118.5667,91.45,24,0,17.27,clear sky
19,Esperance,AU,-33.8667,121.9,62.33,67,43,13.35,scattered clouds
20,Olafsvik,IS,64.8945,-23.7142,42.39,83,100,17.94,moderate rain
21,Bouafle,CI,6.9904,-5.7442,70.97,98,96,2.93,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,40.66,87,100,6.91,moderate rain
23,Rikitea,PF,-23.1203,-134.9692,72.84,82,71,12.06,broken clouds
24,Nouadhibou,MR,20.931,-17.0347,70.11,83,2,12.28,clear sky
25,San Quintin,MX,30.4833,-115.95,65.75,72,0,10.47,clear sky
26,Kerouane,GN,9.2667,-9.0167,69.84,81,27,0.16,scattered clouds
27,Camana,PE,-16.6228,-72.7111,61.02,85,89,9.24,overcast clouds
28,Faanui,PF,-16.4833,-151.75,79.54,76,97,22.44,light rain
29,Ati,TD,13.2154,18.3353,75.74,15,11,11.81,few clouds
30,Hobart,AU,-42.8794,147.3294,61.27,98,100,12.66,light intensity drizzle
31,Victoria,HK,22.2855,114.1577,81.97,58,83,8.01,broken clouds
32,Coquimbo,CL,-29.9533,-71.3436,51.53,93,20,2.3,few clouds
33,Pokhara,NP,28.2333,83.9833,71.91,60,3,4.25,clear sky
34,Qaanaaq,GL,77.484,-69.3632,17.56,94,100,11.95,light snow
35,Punta Arenas,CL,-53.15,-70.9167,46.11,70,100,5.75,overcast clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,66.54,91,73,4.0,broken clouds
37,Turukhansk,RU,65.8167,87.9833,30.29,96,100,16.22,overcast clouds
38,Bambous Virieux,MU,-20.3428,57.7575,77.22,77,24,14.09,light rain
39,Padang,ID,-0.9492,100.3543,86.05,70,100,3.53,overcast clouds
40,Nelson Bay,AU,-32.7167,152.15,84.25,44,97,8.01,overcast clouds
41,Iwanai,JP,42.9744,140.5089,53.55,44,0,3.87,clear sky
42,Cape Town,ZA,-33.9258,18.4232,63.37,74,97,10.0,overcast clouds
43,Alofi,NU,-19.0595,-169.9187,74.89,60,92,10.09,overcast clouds
44,Kshenskiy,RU,51.8408,37.7136,43.7,94,100,13.98,light rain
45,Kapaa,US,22.0752,-159.319,78.1,88,40,6.91,light rain
46,Lienz,AT,46.8289,12.769,52.9,95,98,3.31,overcast clouds
47,Provideniya,RU,64.3833,-173.3,26.71,59,40,8.95,scattered clouds
48,Makakilo City,US,21.3469,-158.0858,80.92,70,40,13.8,scattered clouds
49,Mahebourg,MU,-20.4081,57.7,77.25,77,26,14.29,light rain
50,Butaritari,KI,3.0707,172.7902,82.36,73,55,5.57,light rain
51,San Carlos Del Zulia,VE,9.0,-71.9135,74.73,97,100,4.83,heavy intensity rain
52,Busselton,AU,-33.65,115.3333,61.79,59,80,9.19,broken clouds
53,Castro,BR,-24.7911,-50.0119,59.34,88,71,8.99,broken clouds
54,Mar Del Plata,AR,-38.0023,-57.5575,61.88,85,100,11.99,light rain
55,Albany,US,42.6001,-73.9662,64.63,92,43,1.01,scattered clouds
56,Alberdi,AR,-32.8899,-60.6906,74.19,49,100,19.57,thunderstorm
57,Avarua,CK,-21.2078,-159.775,75.25,60,75,5.75,broken clouds
58,Barrow,US,71.2906,-156.7887,23.02,86,100,24.16,overcast clouds
59,Marystown,CA,47.1666,-55.1483,54.21,92,48,7.9,scattered clouds
60,Port Alfred,ZA,-33.5906,26.891,59.18,96,100,8.57,moderate rain
61,Atuona,PF,-9.8,-139.0333,77.29,72,4,17.74,clear sky
62,Katsuura,JP,35.1333,140.3,62.13,59,67,22.84,broken clouds
63,Kavaratti,IN,10.5669,72.642,82.58,60,20,8.72,few clouds
64,Mandalgovi,MN,45.7625,106.2708,29.35,44,4,8.52,clear sky
65,Bethel,US,41.3712,-73.414,66.29,89,100,0.0,mist
66,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.05,98,100,2.26,overcast clouds
67,North Bend,US,43.4065,-124.2243,52.92,96,40,6.91,scattered clouds
68,Iqaluit,CA,63.7506,-68.5145,29.7,86,100,20.0,overcast clouds
69,Kodiak,US,57.79,-152.4072,49.51,76,75,13.8,light rain
70,Severo-Kurilsk,RU,50.6789,156.125,41.59,65,3,9.71,clear sky
71,Saskylakh,RU,71.9167,114.0833,-5.4,100,39,3.76,scattered clouds
72,Tasiilaq,GL,65.6145,-37.6368,32.16,93,100,4.36,overcast clouds
73,Preobrazheniye,RU,42.9019,133.9064,52.56,66,70,12.01,broken clouds
74,Tuatapere,NZ,-46.1333,167.6833,49.62,97,100,6.2,moderate rain
75,Ozinki,RU,51.1786,49.6769,33.13,73,8,6.51,clear sky
76,Mapastepec,MX,15.4333,-92.9,76.48,87,16,3.47,few clouds
77,Lorengau,PG,-2.0226,147.2712,86.38,60,98,6.42,overcast clouds
78,Dikson,RU,73.5069,80.5464,25.07,70,100,2.77,light snow
79,Ponta Do Sol,PT,32.6667,-17.1,72.01,90,61,8.59,light rain
80,Airai,TL,-8.9266,125.4092,77.68,48,100,2.26,overcast clouds
81,Lata,PT,40.1629,-8.3327,60.08,95,6,4.63,clear sky
82,Itoman,JP,26.1247,127.6694,80.62,50,40,13.8,scattered clouds
83,Agirish,RU,61.9247,63.0231,25.77,80,21,5.28,few clouds
84,Hasaki,JP,35.7333,140.8333,65.21,53,83,28.86,broken clouds
85,Saurimo,AO,-9.6608,20.3916,63.75,93,68,0.6,light rain
