City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Hermanus,ZA,62.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Port Macquarie,AU,76.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
5,Princeton,US,80.62,clear sky,25.5384,-80.4089,American Best Inn
6,Puerto Ayora,EC,69.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Dingle,PH,81.7,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
13,Quatre Cocos,MU,70.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
14,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
15,Carnarvon,AU,66.16,clear sky,-24.8667,113.6333,Hospitality Carnarvon
17,Punganuru,IN,62.69,clear sky,13.3667,78.5833,Sai Ram nursery
18,Cidreira,BR,63.72,clear sky,-30.1811,-50.2056,Hotel Castelo
19,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
20,Mar Del Plata,AR,63.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Jucas,BR,82.94,clear sky,-6.5253,-39.5275,Pousada Brisa do Rio - Jucás
27,Barmer,IN,73.83,clear sky,25.75,71.3833,Jain Dharamshala
29,Rikitea,PF,73.67,clear sky,-23.1203,-134.9692,People ThankYou
30,Rincon,US,64.85,clear sky,32.296,-81.2354,Days Inn Rincon
32,Soyo,AO,76.39,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
33,Bubaque,GW,82.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
34,Mukdahan,TH,74.95,scattered clouds,16.5833,104.5,Ban Kham Phung
38,Inhambane,MZ,75.29,overcast clouds,-23.865,35.3833,Oceano
40,Vao,NC,72.61,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
41,Bengkulu,ID,74.75,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
42,Taquari,BR,65.28,clear sky,-29.7997,-51.8644,Martins Hotel
46,Fare,PF,79.11,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
47,Chabahar,IR,79.92,clear sky,25.2919,60.643,هتل گدروشیا
51,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Kieta,PG,85.08,light rain,-6.2167,155.6333,Uruna Bay Retreat
54,Arlit,NE,81.14,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
55,Kulhudhuffushi,MV,80.33,overcast clouds,6.6221,73.07,Haajy Guest House 1
56,Tuensang,IN,63.72,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
57,Geraldton,AU,66.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
59,Diffa,NE,84.09,overcast clouds,13.3154,12.6113,ProDAF/Diffa
61,Manggar,ID,79.47,light rain,-2.8833,108.2667,Guest Hotel
62,Broken Hill,AU,64.4,broken clouds,-31.95,141.4333,Royal Exchange Hotel
67,San Matias,BO,82.78,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
70,Cape Town,ZA,64.09,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
71,Ahipara,NZ,65.82,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
72,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
